01-001: atmosphere
01-003: hydrosphere
01-005: lithosphere
01-007: oxygen
01-009: oxide
01-011: carbon dioxide
01-013: hydrogen
01-015: core
01-017: crust
01-019: mantle
01-021: longitude
01-023: latitude
01-025: horizon
01-027: altitude
01-029: disaster
01-031: mishap
01-033: catastrophic
01-035: calamity
01-037: endanger
01-039: jeopardize
01-041: destructive
01-043: El Nino
01-045: greenhouse
01-047: phenomenon
01-049: pebble
01-051: magnet
01-053: ore
01-055: mineral
01-057: marble
01-059: quartz
01-061: granite
01-063: gust
01-065: breeze
01-067: monsoon
01-069: gale
01-071: hurricane
01-073: tornado
01-075: typhoon
01-077: volcano
01-079: erupt
01-081: magma
01-083: thermodynamic
01-085: smog
01-087: fume
01-089: mist
01-091: tsunami
01-093: drought
01-095: flooding
01-097: torrent
01-099: earthquake
01-101: seismic
01-103: avalanche
01-105: terrain
01-107: landscape
01-109: continent
01-111: cave
01-113: cliff
01-115: glacier
01-117: swamp
01-119: delta
01-121: plain
01-123: plateau
01-125: oasis
01-127: globe
01-129: hemisphere
01-131: equator
01-133: Arctic
01-135: Antarctic
01-137: pole
01-139: polar
01-141: axis
01-143: deteriorate
01-145: aggravate
01-147: degrade
01-149: upgrade
01-151: erode
01-153: mediterranean
01-155: atlantic
01-157: pacific
01-159: ocean
01-161: marine
01-163: navigation
01-165: gulf
01-167: beach
01-169: coast
01-171: shore
01-173: tide
01-175: current
01-177: brook
01-179: stream
01-181: source
01-183: shallow
01-185: superficial
01-187: flat
01-189: smooth
01-191: rough
01-193: sandy
01-195: stony
01-197: vertical
01-199: steep
01-201: parallel
01-203: narrow
01-205: Oceania
01-207: mainland
01-209: peninsula
01-211: climate
01-213: weather
01-215: meteorology
01-217: mild
01-219: heating
01-221: moderate
01-223: warm
01-225: thermal
01-227: tropics
01-229: arid
01-231: moist
01-233: damp
01-235: humid
01-237: snowy
01-239: frost
01-241: hail
01-243: thaw
01-245: chill
01-247: freeze
01-249: frigid
01-251: tremble
01-253: shiver
01-255: thunder
01-257: lightning
01-259: stormy
01-261: downpour
